Nr sieciowy|Nr fabryczny|Kod błędu|Kod błędu (2 przet)|Data|Czas|Czas pracy (h)|Czas pracy z błędem (h)|Energia|Objętość (m3)|Obj (2 przet) (m3)|Różnica objętości (m3)|Wejście dod 1|Wejście dod 2|Wejście dod 3|Wejście dod 4|Przepływ (m3/h)|Przepływ chwilowy 2 (m3/h)|Różnica przepływu (m3/h)|Moc|T zasilania (C)|T powrotu (C)|T różnica (C)|En rej chłodu|En taryfa 1|En taryfa 2|Obj rej chłodu (m3)|Obj taryfa 1 (m3)|Obj taryfa 2 (m3)|Obj masowa 1 (m3)|Obj masowa 2 (m3)|Różnica obj mas (m3)|Data zapisu maks|Przepływ maks z mies (m3/h)|Moc maks z mies|Data zapisu śr|Przeplyw śr z doby (m3/h)|T zas śr z doby (C)|T pow śr z doby (C)|Data zapisu arch rozl|En arch rozl|En dod arch rozl|En tar1 arch rozl|En tar2 arch rozl|Obj arch rozl (m3)|Wd1 arch rozl|Wd2 arch rozl|Wd3 arch rozl|Wd4 arch rozl|Adres
01|26860707|0||19-12-11|10m18s27|102807|6038|149,357[GJ]|4040,993|||509,718[m3]|0,001[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|50,7|23,3|27,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/1
02|05420708|0||19-12-11|10m18s31|100072|535|169,621[GJ]|2345,322|||909,532[m3]|0,010[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|48,8|46,4|2,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/2
03|15210206|0||19-12-11|10m18s36|120448|7568|195,240[GJ]|2648,399|||1303,353[m3]|0,000[m3]|0,000[m3]|0,485[m3]|0,002|||0,10[kW]|78,6|32,8|45,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/3
04|21450907|0||19-12-11|10m18s40|98921|7383|138,603[GJ]|2000,521|||530,853[m3]|296,527[m3]|0,000[m3]|0,000[m3]|0,019|||0,89[kW]|78,0|37,0|41,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/4
05|21520907|0||19-12-11|10m18s44|98605|6648|190,579[GJ]|3843,179|||754,480[m3]|384,510[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|44,5|38,8|5,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/5
06|02940413|0||19-12-11|10m18s48|57827|1939|89,214[GJ]|1585,180|||340,132[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|49,0|35,1|13,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/6
07|21590507|0||19-12-11|10m18s52|101809|1534|166,158[GJ]|3919,015|||540,412[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,004|||0,14[kW]|69,2|38,7|30,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/7
08|21951007|0||19-12-11|10m18s57|100197|6977|99,758[GJ]|1830,657|||329,250[m3]|19,527[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|50,8|45,1|5,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/8
09|14970206|0||19-12-11|10m19s01|120727|638|240,034[GJ]|4652,205|||1055,339[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|47,5|36,6|10,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/9
0a|08771106|0||19-12-11|10m19s05|97069|912|183,003[GJ]|4674,247|||318,360[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|53,2|47,4|5,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/10
0b|01140707|0||19-12-11|10m19s09|94982|8142|119,449[GJ]|1310,274|||1438,990[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|47,8|40,8|7,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/11
0c|17821106|0||19-12-11|10m19s14|99308|238|120,970[GJ]|3348,329|||1395,465[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|60,5|39,1|21,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/12
0d|08950907|0||19-12-11|10m19s18|100587|311|9,071[GJ]|102,335|||103,772[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,058|||2,14[kW]|77,5|44,4|33,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/13
0e|26070607|0||19-12-11|10m19s22|102306|3873|180,469[GJ]|2551,697|||797,475[m3]|34,651[m3]|0,003[m3]|0,000[m3]|0,000|||0,00[kW]|66,4|29,6|36,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/14
0f|12150206|0||19-12-11|10m19s26|89831|398|121,597[GJ]|1422,696|||728,822[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,037|||0,74[kW]|76,9|59,3|17,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/15
10|12411006|0||19-12-11|10m19s30|110349|444|111,944[GJ]|2909,362|||298,500[m3]|1,170[m3]|0,000[m3]|0,000[m3]|0,006|||0,19[kW]|73,1|44,6|28,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/16
11|11990206|0||19-12-11|10m19s35|117788|6155|192,127[GJ]|2171,602|||831,214[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,034|||1,85[kW]|77,1|30,1|47,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/17
